id,sample1,sample2,sample3
AADAC_AADACL2_pg1,5,6,4
AADAC_AADACL2_pg10,4,2,6
AADAC_AADACL2_pg12,1,2,1
AADAC_AADACL2_pg13,1,2,2
AADAC_AADACL2_pg14,1,2,2
AADAC_AADACL2_pg15,1,2,1
AADAC_AADACL2_pg2,2,4,3
AADAC_AADACL2_pg3,2,2,2
AADAC_AADACL2_pg4,3,5,1
AADAC_AADACL2_pg6,1,3,1
AADAC_AADACL2_pg7,2,4,2
AADAC_AADACL2_pg8,1,3,5
AADAC_AADACL2_pg9,3,5,3
AADACL3_AADACL4_pg1,4,3,2
AADACL3_AADACL4_pg11,4,2,1
AADACL3_AADACL4_pg12,3,3,5
AADACL3_AADACL4_pg13,2,3,1
AADACL3_AADACL4_pg14,3,4,9
AADACL3_AADACL4_pg15,2,3,1
AADACL3_AADACL4_pg16,3,2,3
AADACL3_AADACL4_pg2,3,2,1
AADACL3_AADACL4_pg3,2,1,2
AADACL3_AADACL4_pg4,2,3,5
AADACL3_AADACL4_pg5,11,3,2
AADACL3_AADACL4_pg6,5,4,1
AADACL3_AADACL4_pg7,3,2,3
AADACL3_AADACL4_pg8,1,1,3
AADACL3_AADACL4_pg9,3,NA,2
ABCC1_ABCC3_pg1,10,3,2
ABCC1_ABCC3_pg10,8,6,1
ABCC1_ABCC3_pg11,9,6,NA
ABCC1_ABCC3_pg12,1,NA,NA
ABCC1_ABCC3_pg13,9,5,2
ABCC1_ABCC3_pg14,1,2,3
ABCC1_ABCC3_pg15,8,3,6
ABCC1_ABCC3_pg16,1,5,2
ABCC1_ABCC3_pg2,2,2,2
ABCC1_ABCC3_pg3,9,14,7
ABCC1_ABCC3_pg4,2,1,NA
ABCC1_ABCC3_pg5,5,6,NA
ABCC1_ABCC3_pg6,3,4,4
ABCC1_ABCC3_pg7,9,11,2
ABCC1_ABCC3_pg8,7,8,3
ABCC1_ABCC3_pg9,2,3,NA
ABCC8_ABCC9_pg1,2,NA,6
ABCC8_ABCC9_pg11,6,NA,3
ABCC8_ABCC9_pg12,2,NA,NA
ABCC8_ABCC9_pg13,4,6,7
ABCC8_ABCC9_pg14,5,4,1
ABCC8_ABCC9_pg15,5,3,6
ABCC8_ABCC9_pg16,4,1,2
ABCC8_ABCC9_pg3,13,19,3
ABCC8_ABCC9_pg4,4,4,6
ABCC8_ABCC9_pg5,2,3,7
ABCC8_ABCC9_pg6,1,3,2
ABCC8_ABCC9_pg7,4,4,2
ABCC8_ABCC9_pg8,1,1,3
ABCC8_ABCC9_pg9,1,2,1
ABCD1_ABCD2_pg1,1,2,1
ABCD1_ABCD2_pg10,2,6,3
ABCD1_ABCD2_pg11,4,4,NA
ABCD1_ABCD2_pg12,1,2,2
ABCD1_ABCD2_pg14,5,8,3
ABCD1_ABCD2_pg15,3,1,NA
ABCD1_ABCD2_pg2,9,15,12
ABCD1_ABCD2_pg3,6,4,3
ABCD1_ABCD2_pg4,5,4,4
ABCD1_ABCD2_pg5,3,NA,1
ABCD1_ABCD2_pg6,6,7,4
ABCD1_ABCD2_pg7,4,4,4
ABCD1_ABCD2_pg8,1,3,2
ABCD1_ABCD2_pg9,3,2,NA
ABCG1_ABCG4_pg1,3,5,2
ABCG1_ABCG4_pg10,3,2,2
ABCG1_ABCG4_pg11,6,3,NA
ABCG1_ABCG4_pg12,4,2,1
ABCG1_ABCG4_pg13,9,8,16
ABCG1_ABCG4_pg14,4,6,NA
ABCG1_ABCG4_pg15,1,1,1
ABCG1_ABCG4_pg16,5,4,3
ABCG1_ABCG4_pg2,6,4,8
ABCG1_ABCG4_pg3,2,3,3
ABCG1_ABCG4_pg4,3,1,4
ABCG1_ABCG4_pg5,9,5,9
ABCG1_ABCG4_pg6,3,2,3
ABCG1_ABCG4_pg7,1,3,3
ABCG1_ABCG4_pg8,3,4,NA
ABCG1_ABCG4_pg9,14,8,9
ABHD4_ABHD5_pg1,1,2,NA
