targets	p_val_ttest_late_RepA	p_val_ttest_late_RepB	p_val_ttest_late_RepC	p_val_wil_late_RepA	p_val_wil_late_RepB	p_val_wil_late_RepC	fdr_vals_ttest_late_RepA	fdr_vals_ttest_late_RepB	fdr_vals_ttest_late_RepC	fdr_vals_wil_late_RepA	fdr_vals_wil_late_RepB	fdr_vals_wil_late_RepC
AADAC_AADACL2	0.22014741692443773	0.49126515545485216	0.034693178743171627	0.2001983335105079	0.6132767214377336	0.04224052077815356	0.4063653036418833	0.6865713841499291	0.12364696922306842	0.39884774374433873	0.7808096700628746	0.14748385220846835
AADACL3_AADACL4	0.9954011462831542	0.8380080799644888	0.8546064517937478	0.5780333063322418	0.3683589971900402	0.9518419053719391	0.9954011462831542	0.9221670110720337	0.9158413361329788	0.7414374913103475	0.576610588306598	0.9833472041455339
ABCC1_ABCC3	0.6815426671924939	0.6400102236409817	0.38897050460176885	0.6565933377828705	0.5308747933599155	0.27011348341942787	0.8068838473658261	0.8058808439489134	0.5912339726089095	0.7928383797378156	0.7217660479097371	0.4755844237983089
ABCC8_ABCC9	0.01461656894424962	0.10601521679613105	0.5370843035178063	0.02382101179791188	0.03734240256593709	0.23829042319141097	0.0737993431989074	0.25851346590636626	0.6967214516666758	0.10440698788020951	0.14140689206954118	0.4438320721286678
ABCD1_ABCD2	0.06514033488987184	0.5435476958043002	0.9571198604026501	0.17069056328757107	0.4943510742079763	0.8512380504509294	0.19350200865912467	0.7280287733139521	0.9791674364548876	0.3624974849199963	0.6859342086949032	0.9261945677902251
ABCG1_ABCG4	0.01831239156448804	2.8337417735157524e-4	0.004607244743695199	0.0027225268226178934	3.575291689843733e-4	0.006573221737194066	0.08612677311151909	0.008584570666827131	0.03622490141989355	0.0259145137939126	0.00736510088107809	0.04355870607263821
ABHD4_ABHD5	0.19453406712542445	0.5758278782538374	0.1986968298716437	0.25423692063845654	0.35564812840453774	0.14725292131481296	0.38020889779731915	0.7536247961899016	0.3969914666813327	0.4626572937413609	0.5644338555572788	0.3196787521398562
ABI1_ABI2	0.006860654171525624	0.03671032799187041	0.007302988346053292	0.0032130170879342604	0.02462154149950332	6.330967318784446e-4	0.04559015352691222	0.13901337438097988	0.04691674356005052	0.028285535047626396	0.11074317792353022	0.009450574403402868
ABL1_ABL2	0.38427566970779603	0.15157396167169473	0.23763866084413693	0.3286846034958165	0.10206023802250301	0.2581355310885409	0.5872462014822403	0.3245762588811758	0.4374928720343352	0.5424301300082355	0.2545327970052738	0.4680434664899896
ACACA_ACACB	0.10680217217518241	0.1814485808339871	0.05785384703761298	0.1892305874170819	0.3286846034958165	0.12091997762606649	0.2663558127833847	0.36176178523240415	0.17441598860515214	0.3859554555239492	0.5441714787402042	0.279254656849436
ACSL3_ACSL4	0.02772283335617048	0.024903248795548383	0.0506396770670382	0.02422241193474384	0.03357211835219231	0.06537672411502125	0.11197850336021802	0.112501518681644	0.16048882270476722	0.10571645886773796	0.1325183612136406	0.194618571787491
ACTA2_ACTG2	0.19945355108467766	0.8765018711438759	0.8116142582049408	0.15909204776944194	0.9417198392006398	0.9013418343913518	0.384713778309397	0.9417110569329736	0.8900851901605161	0.3464372287579814	0.9718364712683261	0.9492659401054115
ACTL6A_ACTL6B	0.6337194168363603	0.9210746055919358	0.04476491693135434	0.793563807366017	0.8805042240791996	0.05616561049075133	0.7752149635884219	0.963154156101212	0.14825679884017678	0.867697156674095	0.9405998253891148	0.17855116915269714
ACTL7A_ACTL7B	0.8786758361163102	0.6679592900254998	0.7230577959536646	0.5693736171447638	0.5607763472306972	0.9215055442777366	0.9216253678205698	0.8247107107162114	0.8238379754781797	0.7339860145921235	0.7386184624649849	0.9626274955436802
ACTRT1_ACTRT2	0.07353416864867919	0.30030572435071057	0.2634691450279335	0.07987298466564872	0.204700759928753	0.396051903277866	0.20581574377211836	0.5013207391916238	0.4646801701691293	0.21997105402571707	0.40160339566974396	0.5946420740788684
ACVR2A_ACVR2B	0.6518144856856302	0.6713941925907747	0.36787381670189845	0.5955360887609948	0.5270296452166157	0.4943510742079763	0.7870679018243835	0.8247107107162114	0.5714919837272759	0.7535653211594898	0.7217660479097371	0.6850122541133241
ACVR1_ACVRL1	0.4156945244250837	0.5628740901741861	0.36689093071623846	0.6165284753835405	0.5426187813893393	0.18135169873551615	0.6151801151693049	0.7428470354191723	0.5714919837272759	0.7670598917677053	0.7296309984739157	0.3720961149354216
ADAMTS16_ADAMTS18	0.26244337907034754	0.010607108781413183	0.9098096821214865	0.2781807706907275	0.004788607355035559	0.7649211423457859	0.4573886301902842	0.06702651561261092	0.9523414355539949	0.4914686000196386	0.04178866487786997	0.8696123362209266
ADAMTS10_ADAMTS6	0.23190491801843469	0.18326519484130446	0.3681061253246555	0.2433896656653029	0.3484011804651208	0.5693736171447638	0.42064113444730744	0.36300605901258387	0.5714919837272759	0.45251147226581584	0.5598334101077604	0.7365712583111599
ADAP1_ADAP2	0.5758979550291308	0.08049777685642572	0.9543899079918862	0.6394879281026693	0.0335130091377604	0.9712569118173573	0.7332198933003766	0.22592019117743456	0.979105184493668	0.7768252389754176	0.1325183612136406	0.9903768181477867
ADARB1_ADARB2	0.07344510247554419	3.2409494079276794e-4	0.3145996644755551	0.03293631356761152	5.499507799151742e-4	0.12786823031437997	0.20581574377211836	0.008784678658330288	0.5197138702947569	0.12899012537885882	0.010299078242047809	0.28945994994244256
ADCY5_ADCY6	0.15017423807375083	0.1683677858003019	0.00902437732202881	0.2813865789594535	0.1386830572348778	0.03898437689299573	0.32426482886430225	0.3457443002111632	0.05371442029609936	0.49458733161815205	0.313253396824395	0.14089090596416
ADIPOR1_ADIPOR2	0.9370605764704446	0.5331892206556526	0.09356930055691541	0.8214483524849261	0.4627885520853598	0.10985406511564401	0.9597250899654662	0.7216621514787412	0.23740721405180282	0.8878193106605181	0.6574789084798904	0.2643684277315732
ADSS_ADSSL1	0.15123362625928122	0.29992465117667855	0.09125175643491114	0.05097046597003025	0.30575296576246364	0.0912345020073531	0.3251996556306047	0.5013207391916238	0.23438730455849993	0.1655701185814306	0.5213999250585059	0.23545758541745793
AGPAT3_AGPAT4	0.5395421990548936	0.8625433067226939	0.08536007215903496	0.5024178350801113	0.9619717469447033	0.11562150574078385	0.7047392351986582	0.9366326359288231	0.2248927694107202	0.691832045631704	0.9839432962790908	0.27440126938480963
AGR2_AGR3	0.33301876032641575	0.8197173141438402	0.8577653051080739	0.29779078662305214	0.5607763472306972	0.9417198392006398	0.5351159487304341	0.9139375328092869	0.9161788320116092	0.5126200222753557	0.7386184624649849	0.9758263927330574
AIF1_AIF1L	0.4005358219595233	0.3456592211568056	0.14044910322892548	0.43497115482751364	0.33566647291991136	0.13863201276898124	0.6013876043998674	0.5528400586824685	0.3151690116030354	0.6409446201321016	0.5487880430277916	0.30641839732199716
